name,cat,presc,unit,muscle
Tuck Front Lever Hold,Bodyweight,4x20s,time,Lats
One Arm Pull Up,Bodyweight,3x3,reps,Lats
Commando Pull Up,Bodyweight,3x8,reps,Lats
Around the World Pull Up,Bodyweight,3x6,reps,Lats
Explosive Pull Up,Bodyweight,4x5,reps,Lats
Clap Pull Up,Bodyweight,4x4,reps,Lats
Kipping Toes to Bar,Bodyweight,4x10,reps,Abdominals
Muscle Up Transition,Bodyweight,4x5,reps,Lats
Handstand Walk,Bodyweight,4x10m,distance,Shoulders
Freestanding Handstand Hold,Bodyweight,4x20s,time,Shoulders
Wall Handstand Hold,Bodyweight,4x30s,time,Shoulders
Headstand Hold,Bodyweight,3x45s,time,Shoulders
Crow Pose,Bodyweight,3x20s,time,Shoulders
Frog Stand Hold,Bodyweight,3x20s,time,Shoulders
Elbow Lever Hold,Bodyweight,3x15s,time,Abdominals
Back Bridge Hold,Bodyweight,3x30s,time,Lower Back
Wall Walk,Bodyweight,4x5,reps,Shoulders
Iron Cross Hold,Bodyweight,4x8s,time,Chest
Victorian Cross Hold,Bodyweight,4x5s,time,Chest
Maltese Hold,Bodyweight,4x5s,time,Chest
One Arm Push Up Negative,Bodyweight,3x5,reps,Chest
90 Degree Push Up,Bodyweight,3x5,reps,Chest
Superman Push Up,Bodyweight,3x6,reps,Chest
Aztec Push Up,Bodyweight,3x5,reps,Chest
Russian Dip,Bodyweight,3x8,reps,Triceps
Korean Dip,Bodyweight,3x8,reps,Triceps
Straight Bar Dip,Bodyweight,3x10,reps,Chest
Bulgarian Dip,Bodyweight,3x8,reps,Chest
Impossible Dip,Bodyweight,3x5,reps,Chest
Box Drop,Bodyweight,4x5,reps,Quadriceps
Lateral Bound,Bodyweight,4x8,reps,Glutes
Single Leg Bound,Bodyweight,4x6,reps,Glutes
Lateral Skater Bound,Bodyweight,4x10,reps,Glutes
Split Jump,Bodyweight,4x10,reps,Quadriceps
Scissor Jump,Bodyweight,4x12,reps,Quadriceps
Squat Jump to Box,Bodyweight,4x6,reps,Quadriceps
Continuous Box Jump,Bodyweight,4x8,reps,Quadriceps
Seated Box Jump,Bodyweight,4x5,reps,Quadriceps
Reactive Hurdle Jump,Bodyweight,4x8,reps,Calves
Triple Jump,Bodyweight,4x4,reps,Glutes
Ankle Hop,Bodyweight,3x20,reps,Calves
Power Skip,Bodyweight,4x20m,distance,Glutes
Depth Drop to Broad Jump,Bodyweight,4x5,reps,Glutes
Plyo Push Up,Bodyweight,4x6,reps,Chest
Drop Push Up,Bodyweight,4x6,reps,Chest
Clap Push Up to Box,Bodyweight,4x6,reps,Chest
Med Ball Scoop Toss,Conditioning,4x8,reps,Full Body
Med Ball Side Toss,Conditioning,4x8,reps,Abdominals
Med Ball Overhead Slam,Conditioning,4x10,reps,Full Body
Kneeling Med Ball Throw,Conditioning,4x8,reps,Chest
Vertical Jump Test,Bodyweight,3x3,reps,Quadriceps
Standing Long Jump Test,Bodyweight,3x3,reps,Glutes
Jefferson Deadlift,Barbell,4x6,reps,Glutes
Snatch Grip Deadlift,Barbell,4x5,reps,Upper Back
Suitcase Deadlift,Dumbbell,3x10,reps,Abdominals
Behind the Neck Press,Barbell,4x8,reps,Shoulders
Bradford Press,Barbell,3x10,reps,Shoulders
Half Kneeling Press,Dumbbell,3x10,reps,Shoulders
Landmine Lateral Raise,Barbell,3x12,reps,Shoulders
Landmine Anti Rotation,Barbell,3x12,reps,Abdominals
Meadows Row,Barbell,4x10,reps,Upper Back
Kroc Row,Dumbbell,3x15,reps,Upper Back
Inverted Row Feet Elevated,Bodyweight,3x12,reps,Upper Back
Cable Pullover,Machine,3x12,reps,Lats
Tate Press,Dumbbell,3x12,reps,Triceps
Tricep Kickback,Dumbbell,3x15,reps,Triceps
Cuban Rotation,Dumbbell,3x12,reps,Shoulders
Scapular Push Up,Bodyweight,3x15,reps,Upper Back
Serratus Punch,Dumbbell,3x15,reps,Chest
Copenhagen Adduction,Bodyweight,3x10,reps,Adductors
45 Degree Hyper,Machine,3x15,reps,Lower Back
Standing Ab Wheel,Bodyweight,3x6,reps,Abdominals
Jefferson Curl (Dumbbell),Dumbbell,3x8,reps,Lower Back
Jefferson Curl Stretch,Bodyweight,2x45s,time,Mobility
Shoulder Dislocate Stretch,Bodyweight,2x45s,time,Mobility
Scapular Wall Slide Stretch,Bodyweight,2x45s,time,Mobility
Prone Press Up Stretch,Bodyweight,2x45s,time,Mobility
Frog Stretch,Bodyweight,2x60s,time,Mobility
Lizard Pose Stretch,Bodyweight,2x60s,time,Mobility
Half Kneeling Hip Flexor Stretch,Bodyweight,2x45s,time,Mobility
Standing Side Bend Stretch,Bodyweight,2x30s,time,Mobility
Neck Rotation Stretch,Bodyweight,2x30s,time,Mobility
Chin Tuck Stretch,Bodyweight,2x30s,time,Mobility
Wrist Circles Stretch,Bodyweight,2x30s,time,Mobility
Shoulder Circles Stretch,Bodyweight,2x30s,time,Mobility
Hip Circles Stretch,Bodyweight,2x30s,time,Mobility
Leg Swings Stretch,Bodyweight,2x30s,time,Mobility
Arm Circles Stretch,Bodyweight,2x30s,time,Mobility
Torso Twist Stretch,Bodyweight,2x30s,time,Mobility
Knee Hug Stretch,Bodyweight,2x30s,time,Mobility
Ankle Dorsiflexion Stretch,Bodyweight,2x45s,time,Mobility
Calf Wall Stretch,Bodyweight,2x45s,time,Mobility
Sciatic Nerve Glide Stretch,Bodyweight,2x30s,time,Mobility
Median Nerve Glide Stretch,Bodyweight,2x30s,time,Mobility
Thread the Needle Pose,Bodyweight,2x45s,time,Mobility
Happy Baby Pose,Bodyweight,2x60s,time,Mobility
Supine Twist Pose,Bodyweight,2x60s,time,Mobility
Sphinx Pose,Bodyweight,2x45s,time,Mobility
Bow Pose,Bodyweight,2x30s,time,Mobility
Camel Pose,Bodyweight,2x30s,time,Mobility
Bridge Pose,Bodyweight,2x45s,time,Mobility
Warrior I Pose,Bodyweight,2x45s,time,Mobility
Warrior II Pose,Bodyweight,2x45s,time,Mobility
Triangle Pose,Bodyweight,2x45s,time,Mobility
Tree Pose,Bodyweight,2x45s,time,Mobility
Chair Pose,Bodyweight,2x45s,time,Mobility
Eagle Pose,Bodyweight,2x30s,time,Mobility
Cow Face Pose,Bodyweight,2x45s,time,Mobility
Reclined Pigeon Pose,Bodyweight,2x60s,time,Mobility
Standing Forward Fold Stretch,Bodyweight,2x45s,time,Mobility
Wide Legged Forward Fold Stretch,Bodyweight,2x45s,time,Mobility
Low Lunge Stretch,Bodyweight,2x45s,time,Mobility
Foam Rolling Hamstrings,Bodyweight,2x60s,time,Mobility
Foam Rolling Adductors,Bodyweight,2x60s,time,Mobility
Foam Rolling Pecs,Bodyweight,2x60s,time,Mobility
Foam Rolling Tibialis,Bodyweight,2x60s,time,Mobility
Lacrosse Ball Glute Release Stretch,Bodyweight,2x60s,time,Mobility
Lacrosse Ball Foot Release Stretch,Bodyweight,2x60s,time,Mobility
Banded Hip Distraction Stretch,Bodyweight,2x60s,time,Mobility
Banded Shoulder Distraction Stretch,Bodyweight,2x60s,time,Mobility
Banded Ankle Distraction Stretch,Bodyweight,2x60s,time,Mobility
