name,cat,muscle,presc,unit,has image,how to do it,common mistakes
V Up,Bodyweight,Abdominals,3x15,reps,yes,,
Weighted Hollow Body Hold,Bodyweight,Abdominals,3x30s,time,yes,,
Band Monster Walk,Bodyweight,Abductors,3x20m,distance,,,
Fire Hydrant,Bodyweight,Abductors,3x15,reps,,,
Fire Hydrant Rehab,Bodyweight,Abductors,3x15,reps,,,
Glute Med Isometric,Bodyweight,Abductors,3x30s,time,,,
Side Lying Hip Abduction,Bodyweight,Abductors,3x15,reps,,,
Adductor Squeeze Isometric,Bodyweight,Adductors,3x30s,time,,,
Ape Reach,Bodyweight,Adductors,3x10,reps,,,
Copenhagen Adduction,Bodyweight,Adductors,3x10,reps,yes,,
Copenhagen Plank,Bodyweight,Adductors,3x30s,time,yes,,
Band Bicep Curl,Bodyweight,Biceps,3x15,reps,yes,,
Achilles Eccentric Drop,Bodyweight,Calves,3x15,reps,,,
Ankle Alphabet,Bodyweight,Calves,3x2,reps,,,
Ankle Eversion Band,Bodyweight,Calves,3x15,reps,,,
Ankle Hop,Bodyweight,Calves,3x20,reps,,,
Ankle Inversion Band,Bodyweight,Calves,3x15,reps,,,
Calf Raise Eccentric,Bodyweight,Calves,3x15,reps,,,
Heel Walk,Bodyweight,Calves,3x20m,distance,,,
Hurdle Hop,Bodyweight,Calves,4x6,reps,yes,,
Pogo Jump,Bodyweight,Calves,3x20,reps,,,
Reactive Hurdle Jump,Bodyweight,Calves,4x8,reps,,,
Single Leg Calf Raise (Bodyweight),Bodyweight,Calves,3x15,reps,yes,,
Standing Calf Raise (Bodyweight),Bodyweight,Calves,3x20,reps,yes,,
Tibialis Raise,Bodyweight,Calves,3x20,reps,yes,,
Toe Walk,Bodyweight,Calves,3x20m,distance,,,
Towel Scrunch,Bodyweight,Calves,3x20,reps,,,
Butt Kicks,Bodyweight,Cardio,3x30s,time,yes,,
90 Degree Push Up,Bodyweight,Chest,3x5,reps,,,
Archer Push Up,Bodyweight,Chest,3x8,reps,yes,,
Aztec Push Up,Bodyweight,Chest,3x5,reps,,,
Bulgarian Dip,Bodyweight,Chest,3x8,reps,,,
Chair Incline Push Up,Bodyweight,Chest,3x12,reps,yes,,
Clap Push Up to Box,Bodyweight,Chest,4x6,reps,,,
Drop Push Up,Bodyweight,Chest,4x6,reps,,,
Explosive Push Up,Bodyweight,Chest,3x8,reps,yes,,
Impossible Dip,Bodyweight,Chest,3x5,reps,yes,,
Iron Cross Hold,Bodyweight,Chest,4x8s,time,,,
Isometric Push Up Hold,Bodyweight,Chest,3x30s,time,yes,,
Maltese Hold,Bodyweight,Chest,4x5s,time,,,
One Arm Push Up Negative,Bodyweight,Chest,3x5,reps,yes,,
Plank to Push Up,Bodyweight,Chest,3x12,reps,,,
Plyo Push Up,Bodyweight,Chest,4x6,reps,,,
Pseudo Planche Push Up,Bodyweight,Chest,3x8,reps,yes,,
Serratus Wall Slide,Bodyweight,Chest,3x12,reps,,,
Spiderman Push Up,Bodyweight,Chest,3x10,reps,,,
Staggered Push Up,Bodyweight,Chest,3x10,reps,,,
Straight Bar Dip,Bodyweight,Chest,3x10,reps,yes,,
Superman Push Up,Bodyweight,Chest,3x6,reps,yes,,
Tempo Push Up,Bodyweight,Chest,3x8,reps,yes,,
Victorian Cross Hold,Bodyweight,Chest,4x5s,time,,,
Wall Push Up,Bodyweight,Chest,3x15,reps,yes,,
Wide Push Up,Bodyweight,Chest,3x12,reps,yes,,
Bar Hang Hold,Bodyweight,Forearms,3x45s,time,,,
Captains of Crush Grip,Bodyweight,Forearms,3x10,reps,,,
Climbing Hangboard Hold,Bodyweight,Forearms,5x10s,time,,,
Grip Squeeze Ball,Bodyweight,Forearms,3x20,reps,,,
Hub Lift,Bodyweight,Forearms,3x8,reps,,,
Nerve Glide Ulnar,Bodyweight,Forearms,3x12,reps,,,
Plate Pinch Hold,Bodyweight,Forearms,3x30s,time,,,
Reverse Tyler Twist,Bodyweight,Forearms,3x15,reps,,,
Towel Pull Up Hold,Bodyweight,Forearms,3x20s,time,,,
Two Finger Hang Hold,Bodyweight,Forearms,3x15s,time,,,
Tyler Twist,Bodyweight,Forearms,3x15,reps,,,
Bear Crawl Hold,Bodyweight,Full Body,3x30s,time,yes,,
Beast Crawl,Bodyweight,Full Body,3x20,reps,,,
Broad Jump Burpee,Bodyweight,Full Body,4x8,reps,,,
Burpee Pull Up,Bodyweight,Full Body,3x8,reps,,,
Burpee Tuck Jump,Bodyweight,Full Body,4x10,reps,,,
Inchworm,Bodyweight,Full Body,3x10,reps,yes,,
Sprawl,Bodyweight,Full Body,4x15,reps,,,
Squat Thrust,Bodyweight,Full Body,3x15,reps,yes,,
Star Jump,Bodyweight,Full Body,3x20,reps,yes,,
Band Hip Thrust,Bodyweight,Glutes,3x20,reps,yes,,
Bounding,Bodyweight,Glutes,4x20m,distance,,,
Broad Jump,Bodyweight,Glutes,4x5,reps,yes,,
Depth Drop to Broad Jump,Bodyweight,Glutes,4x5,reps,,,
Donkey Kick,Bodyweight,Glutes,3x15,reps,yes,,
Frog Pump,Bodyweight,Glutes,3x20,reps,yes,,
Glute Bridge Hold,Bodyweight,Glutes,3x45s,time,yes,,
Glute Bridge March Rehab,Bodyweight,Glutes,3x12,reps,,,
Glute Bridge Pulse,Bodyweight,Glutes,3x25,reps,,,
Hip Airplane,Bodyweight,Glutes,3x8,reps,,,
Lateral Bound,Bodyweight,Glutes,4x8,reps,yes,,
Lateral Skater Bound,Bodyweight,Glutes,4x10,reps,,,
Pilates Side Kick,Bodyweight,Glutes,3x15,reps,,,
Power Skip,Bodyweight,Glutes,4x20m,distance,,,
Single Leg Bound,Bodyweight,Glutes,4x6,reps,yes,,
Single Leg Glute Bridge March,Bodyweight,Glutes,3x12,reps,yes,,
Standing Hip CAR,Bodyweight,Glutes,3x8,reps,,,
Standing Long Jump Test,Bodyweight,Glutes,3x3,reps,,,
Triple Jump,Bodyweight,Glutes,4x4,reps,,,
Band Good Morning,Bodyweight,Hamstrings,3x15,reps,yes,,
Nerve Flossing Sciatic,Bodyweight,Hamstrings,3x12,reps,,,
Archer Pull Up,Bodyweight,Lats,3x5,reps,yes,,
Around the World Pull Up,Bodyweight,Lats,3x6,reps,,,
Back Lever Hold,Bodyweight,Lats,4x15s,time,yes,,
Campus Board,Bodyweight,Lats,4x6,reps,,,
Chest to Bar Pull Up,Bodyweight,Lats,4x8,reps,,,
Clap Pull Up,Bodyweight,Lats,4x4,reps,yes,,
Commando Pull Up,Bodyweight,Lats,3x8,reps,yes,,
Explosive Pull Up,Bodyweight,Lats,4x5,reps,,,
Lat closed grip pull down,Bodyweight,Lats,4x8,reps,,,
Muscle Up Transition,Bodyweight,Lats,4x5,reps,,,
One Arm Pull Up,Bodyweight,Lats,3x3,reps,yes,,
Skin the Cat,Bodyweight,Lats,3x5,reps,yes,,
Tuck Front Lever Hold,Bodyweight,Lats,4x20s,time,yes,,
Typewriter Pull Up,Bodyweight,Lats,3x5,reps,yes,,
Back Bridge Hold,Bodyweight,Lower Back,3x30s,time,,,
Bird Dog Rehab,Bodyweight,Lower Back,3x12,reps,,,
Pelvic Tilt,Bodyweight,Lower Back,3x15,reps,,,
Pilates Swan,Bodyweight,Lower Back,3x10,reps,,,
Prone Extension,Bodyweight,Lower Back,3x12,reps,,,
Scorpion Reach,Bodyweight,Lower Back,3x10,reps,,,
Standing Extension,Bodyweight,Lower Back,3x12,reps,,,
Superman Pull,Bodyweight,Lower Back,3x15,reps,yes,,
90/90 Hip Switch,Bodyweight,Mobility,2x45s,time,yes,,
Ankle Circles Stretch,Bodyweight,Mobility,2x45s,time,yes,,
Ankle Dorsiflexion Stretch,Bodyweight,Mobility,2x45s,time,,,
Arm Circles Stretch,Bodyweight,Mobility,2x30s,time,,,
Band Dislocate Stretch,Bodyweight,Mobility,2x45s,time,,,
Banded Ankle Distraction Stretch,Bodyweight,Mobility,2x60s,time,,,
Banded Hip Distraction Stretch,Bodyweight,Mobility,2x60s,time,,,
Banded Shoulder Distraction Stretch,Bodyweight,Mobility,2x60s,time,,,
Bow Pose,Bodyweight,Mobility,2x30s,time,,,
Bridge Pose,Bodyweight,Mobility,2x45s,time,,,
Butterfly Groin Stretch,Bodyweight,Mobility,2x45s,time,yes,,
Calf Stretch on Wall,Bodyweight,Mobility,2x45s,time,yes,,
Calf Wall Stretch,Bodyweight,Mobility,2x45s,time,,,
Camel Pose,Bodyweight,Mobility,2x30s,time,,,
Cat Camel,Bodyweight,Mobility,3x12,reps,,,
Cat-Cow Stretch,Bodyweight,Mobility,2x45s,time,yes,,
Chair Pose,Bodyweight,Mobility,2x45s,time,,,
Child's Pose Stretch,Bodyweight,Mobility,2x60s,time,yes,,
Chin Tuck Stretch,Bodyweight,Mobility,2x30s,time,,,
Cobra Pose Stretch,Bodyweight,Mobility,2x45s,time,yes,,
Couch Stretch,Bodyweight,Mobility,2x60s,time,yes,,
Cow Face Pose,Bodyweight,Mobility,2x45s,time,,,
Cross Body Shoulder Stretch,Bodyweight,Mobility,2x45s,time,yes,,
Deep Squat Hold Stretch,Bodyweight,Mobility,2x60s,time,yes,,
Doorway Chest Stretch,Bodyweight,Mobility,2x45s,time,yes,,
Doorway Pec Stretch Rehab,Bodyweight,Mobility,2x45s,time,,,
Downward-Facing Dog Stretch,Bodyweight,Mobility,2x45s,time,yes,,
Eagle Pose,Bodyweight,Mobility,2x30s,time,,,
Foam Rolling Adductors,Bodyweight,Mobility,2x60s,time,,,
Foam Rolling Calves,Bodyweight,Mobility,2x60s,time,yes,,
Foam Rolling Glutes,Bodyweight,Mobility,2x60s,time,yes,,
Foam Rolling Hamstrings,Bodyweight,Mobility,2x60s,time,,,
Foam Rolling IT Band,Bodyweight,Mobility,2x60s,time,,,
Foam Rolling Lats,Bodyweight,Mobility,2x60s,time,yes,,
Foam Rolling Pecs,Bodyweight,Mobility,2x60s,time,,,
Foam Rolling Quads,Bodyweight,Mobility,2x60s,time,yes,,
Foam Rolling Thoracic Spine,Bodyweight,Mobility,2x60s,time,yes,,
Foam Rolling Tibialis,Bodyweight,Mobility,2x60s,time,,,
Frog Stretch,Bodyweight,Mobility,2x60s,time,,,
Half Kneeling Hip Flexor Stretch,Bodyweight,Mobility,2x45s,time,,,
Hamstring Stretch,Bodyweight,Mobility,2x45s,time,yes,,
Happy Baby Pose,Bodyweight,Mobility,2x60s,time,,,
Hip Circles Stretch,Bodyweight,Mobility,2x30s,time,,,
Hip Flexor Stretch,Bodyweight,Mobility,2x45s,time,yes,,
Jefferson Curl Stretch,Bodyweight,Mobility,2x45s,time,,,
Knee Hug Stretch,Bodyweight,Mobility,2x30s,time,,,
Lacrosse Ball Foot Release Stretch,Bodyweight,Mobility,2x60s,time,,,
Lacrosse Ball Glute Release Stretch,Bodyweight,Mobility,2x60s,time,,,
Lat Stretch on Rack,Bodyweight,Mobility,2x45s,time,yes,,
Leg Swings Stretch,Bodyweight,Mobility,2x30s,time,,,
Levator Scapulae Stretch,Bodyweight,Mobility,2x30s,time,yes,,
Lizard Pose Stretch,Bodyweight,Mobility,2x60s,time,,,
Low Lunge Stretch,Bodyweight,Mobility,2x45s,time,,,
Lumbar Rotation Stretch,Bodyweight,Mobility,2x45s,time,,,
Lying Glute Stretch,Bodyweight,Mobility,2x45s,time,yes,,
Median Nerve Glide Stretch,Bodyweight,Mobility,2x30s,time,,,
Neck Rotation Stretch,Bodyweight,Mobility,2x30s,time,,,
Neck Side Stretch,Bodyweight,Mobility,2x30s,time,yes,,
Overhead Triceps Stretch,Bodyweight,Mobility,2x45s,time,yes,,
Pigeon Pose Stretch,Bodyweight,Mobility,2x60s,time,yes,,
Prone Press Up Stretch,Bodyweight,Mobility,2x45s,time,,,
Puppy Pose Stretch,Bodyweight,Mobility,2x45s,time,yes,,
Reclined Pigeon Pose,Bodyweight,Mobility,2x60s,time,,,
Scapular Wall Slide Stretch,Bodyweight,Mobility,2x45s,time,,,
Sciatic Nerve Glide Stretch,Bodyweight,Mobility,2x30s,time,,,
Seated Forward Fold Stretch,Bodyweight,Mobility,2x45s,time,yes,,
Seated Spinal Twist Stretch,Bodyweight,Mobility,2x45s,time,yes,,
Shoulder Circles Stretch,Bodyweight,Mobility,2x30s,time,,,
Shoulder Dislocate Stretch,Bodyweight,Mobility,2x45s,time,,,
Sleeper Stretch,Bodyweight,Mobility,2x45s,time,,,
Sphinx Pose,Bodyweight,Mobility,2x45s,time,,,
Standing Forward Fold Stretch,Bodyweight,Mobility,2x45s,time,,,
Standing IT Band Stretch,Bodyweight,Mobility,2x45s,time,,,
Standing Quad Stretch,Bodyweight,Mobility,2x45s,time,yes,,
Standing Side Bend Stretch,Bodyweight,Mobility,2x30s,time,,,
Supine Twist Pose,Bodyweight,Mobility,2x60s,time,,,
Thoracic Rotation Stretch,Bodyweight,Mobility,2x45s,time,yes,,
Thread the Needle Pose,Bodyweight,Mobility,2x45s,time,,,
Thread the Needle Stretch,Bodyweight,Mobility,2x45s,time,yes,,
Torso Twist Stretch,Bodyweight,Mobility,2x30s,time,,,
Towel Stretch Shoulder,Bodyweight,Mobility,2x45s,time,,,
Tree Pose,Bodyweight,Mobility,2x45s,time,,,
Triangle Pose,Bodyweight,Mobility,2x45s,time,,,
Upper Trap Stretch Rehab,Bodyweight,Mobility,2x45s,time,,,
Wall Slide Stretch,Bodyweight,Mobility,2x45s,time,yes,,
Warrior I Pose,Bodyweight,Mobility,2x45s,time,,,
Warrior II Pose,Bodyweight,Mobility,2x45s,time,,,
Wide Legged Forward Fold Stretch,Bodyweight,Mobility,2x45s,time,,,
World's Greatest Stretch,Bodyweight,Mobility,2x45s,time,yes,,
Wrist Circles Stretch,Bodyweight,Mobility,2x30s,time,,,
Wrist Extensor Stretch,Bodyweight,Mobility,2x30s,time,yes,,
Wrist Flexor Stretch,Bodyweight,Mobility,2x30s,time,yes,,
Chin Tuck Rehab,Bodyweight,Neck,3x15,reps,,,
Deep Neck Flexor Hold,Bodyweight,Neck,3x20s,time,,,
Lying Neck Curls (Weighted),Bodyweight,Neck,3x15,reps,yes,,
Neck Curl,Bodyweight,Neck,3x15,reps,,,
Neck Lateral Flexion,Bodyweight,Neck,3x15,reps,,,
ATG Split Squat,Bodyweight,Quadriceps,3x10,reps,yes,,
Box Drop,Bodyweight,Quadriceps,4x5,reps,,,
Chair Bulgarian Split Squat,Bodyweight,Quadriceps,3x10,reps,yes,,
Chair Squat,Bodyweight,Quadriceps,3x15,reps,yes,,
Chair Step Up,Bodyweight,Quadriceps,3x12,reps,yes,,
Continuous Box Jump,Bodyweight,Quadriceps,4x8,reps,,,
Depth Jump,Bodyweight,Quadriceps,4x5,reps,yes,,
Duck Walk,Bodyweight,Quadriceps,3x20m,distance,yes,,
Front Squat,Bodyweight,Quadriceps,4x8,reps,yes,,
Heel Slide,Bodyweight,Quadriceps,3x15,reps,,,
Isometric Lunge Hold,Bodyweight,Quadriceps,3x45s,time,,,
Isometric Squat Hold,Bodyweight,Quadriceps,3x45s,time,yes,,
Jump Lunge,Bodyweight,Quadriceps,3x12,reps,yes,,
Patellar Tendon Isometric,Bodyweight,Quadriceps,3x45s,time,,,
Poliquin Step Up,Bodyweight,Quadriceps,3x12,reps,yes,,
Quad Set Hold,Bodyweight,Quadriceps,3x10s,time,,,
Reverse Nordic Curl,Bodyweight,Quadriceps,3x8,reps,yes,,
Scissor Jump,Bodyweight,Quadriceps,4x12,reps,yes,,
Seated Box Jump,Bodyweight,Quadriceps,4x5,reps,,,
Short Arc Quad,Bodyweight,Quadriceps,3x15,reps,,,
Shrimp Squat,Bodyweight,Quadriceps,3x8,reps,yes,,
Single Leg Balance Hold,Bodyweight,Quadriceps,3x30s,time,,,
Single Leg Box Jump,Bodyweight,Quadriceps,3x5,reps,yes,,
Skater Jump,Bodyweight,Quadriceps,3x20,reps,yes,,
Skater Squat,Bodyweight,Quadriceps,3x10,reps,yes,,
Slant Board Squat,Bodyweight,Quadriceps,3x12,reps,yes,,
Spanish Squat Isometric,Bodyweight,Quadriceps,3x30s,time,,,
Speed Skater,Bodyweight,Quadriceps,3x20,reps,,,
Split Jump,Bodyweight,Quadriceps,4x10,reps,yes,,
Squat Jump to Box,Bodyweight,Quadriceps,4x6,reps,yes,,
Squat Pulse,Bodyweight,Quadriceps,3x20,reps,,,
Step Down Eccentric,Bodyweight,Quadriceps,3x10,reps,,,
Step Up (Bodyweight),Bodyweight,Quadriceps,3x15,reps,yes,,
Straight Leg Raise,Bodyweight,Quadriceps,3x15,reps,,,
Terminal Knee Extension Band,Bodyweight,Quadriceps,3x15,reps,,,
Tuck Jump,Bodyweight,Quadriceps,4x8,reps,yes,,
VMO Squeeze,Bodyweight,Quadriceps,3x15,reps,,,
Vertical Jump Test,Bodyweight,Quadriceps,3x3,reps,,,
Wall Sit Isometric,Bodyweight,Quadriceps,3x45s,time,,,
Advanced Tuck Planche Hold,Bodyweight,Shoulders,4x15s,time,,,
Band Pull Apart Overhead,Bodyweight,Shoulders,3x15,reps,,,
Band Shoulder Press,Bodyweight,Shoulders,3x15,reps,yes,,
Codman Circle,Bodyweight,Shoulders,3x20,reps,,,
Crab Reach,Bodyweight,Shoulders,3x10,reps,,,
Crow Pose,Bodyweight,Shoulders,3x20s,time,,,
Freestanding Handstand Hold,Bodyweight,Shoulders,4x20s,time,,,
Frog Stand Hold,Bodyweight,Shoulders,3x20s,time,yes,,
Handstand Push Up Kipping,Bodyweight,Shoulders,4x8,reps,,,
Handstand Walk,Bodyweight,Shoulders,4x10m,distance,yes,,
Headstand Hold,Bodyweight,Shoulders,3x45s,time,,,
Hindu Push Up,Bodyweight,Shoulders,3x10,reps,yes,,
Isometric Shoulder Abduction,Bodyweight,Shoulders,3x20s,time,,,
Isometric Shoulder External Rotation,Bodyweight,Shoulders,3x20s,time,,,
Loaded Beast Hold,Bodyweight,Shoulders,3x30s,time,,,
Passive Shoulder Flexion,Bodyweight,Shoulders,3x12,reps,,,
Pendulum Swing,Bodyweight,Shoulders,3x20,reps,,,
Planche Lean Hold,Bodyweight,Shoulders,4x20s,time,yes,,
Prone Y Raise,Bodyweight,Shoulders,3x15,reps,yes,,
Straddle Planche Hold,Bodyweight,Shoulders,4x10s,time,yes,,
Table Slide,Bodyweight,Shoulders,3x12,reps,,,
Tuck Planche Hold,Bodyweight,Shoulders,4x15s,time,yes,,
Wall Handstand Hold,Bodyweight,Shoulders,4x30s,time,yes,,
Wall Walk,Bodyweight,Shoulders,4x5,reps,yes,,
Band Tricep Extension,Bodyweight,Triceps,3x15,reps,yes,,
Bench Dip Weighted,Bodyweight,Triceps,3x12,reps,,,
Chair Dip,Bodyweight,Triceps,3x12,reps,yes,,
Close Grip Push Up,Bodyweight,Triceps,3x12,reps,yes,,
Korean Dip,Bodyweight,Triceps,3x8,reps,yes,,
Russian Dip,Bodyweight,Triceps,3x8,reps,,,
Triceps Pressdown,Bodyweight,Triceps,3x12,reps,yes,,
Band Face Pull,Bodyweight,Upper Back,3x15,reps,yes,,
Bent Over Row (Band),Bodyweight,Upper Back,4x8,reps,yes,,
Blackburn Exercise,Bodyweight,Upper Back,3x12,reps,,,
Doorway Row,Bodyweight,Upper Back,3x12,reps,yes,,
Inverted Row Feet Elevated,Bodyweight,Upper Back,3x12,reps,yes,,
Low row,Bodyweight,Upper Back,4x8,reps,,,
Prone Horizontal Abduction,Bodyweight,Upper Back,3x15,reps,,,
Prone T Raise,Bodyweight,Upper Back,3x15,reps,yes,,
Prone W Raise,Bodyweight,Upper Back,3x15,reps,yes,,
Scapular Depression,Bodyweight,Upper Back,3x15,reps,,,
Scapular Push Up,Bodyweight,Upper Back,3x15,reps,yes,,
Scapular Retraction,Bodyweight,Upper Back,3x15,reps,,,
Table Row,Bodyweight,Upper Back,3x10,reps,yes,,
Towel Row,Bodyweight,Upper Back,3x12,reps,yes,,
Wall Angel,Bodyweight,Upper Back,3x15,reps,,,
Air Bike,Cardio Machine,Cardio,3x400m,distance,yes,,
Incline Treadmill Walk,Cardio Machine,Cardio,1x20min,time,,,
Jacob's Ladder,Cardio Machine,Cardio,3x5min,time,,,
Rowing Erg Sprint,Cardio Machine,Cardio,6x250m,distance,,,
Versaclimber,Cardio Machine,Cardio,3x5min,time,yes,,
A Skip,Cardio Outdoor,Cardio,4x20m,distance,,,
Aerobics,Cardio Outdoor,Cardio,3x45s,time,yes,,
B Skip,Cardio Outdoor,Cardio,4x20m,distance,,,
Boxing,Cardio Outdoor,Cardio,3x45s,time,yes,,
Butt Kick Run,Cardio Outdoor,Cardio,4x20m,distance,,,
Climbing,Cardio Outdoor,Cardio,3x400m,distance,yes,,
Cycling,Cardio Outdoor,Cardio,3x400m,distance,yes,,
Falling Start Sprint,Cardio Outdoor,Cardio,6x15m,distance,,,
Fartlek Run,Cardio Outdoor,Cardio,1x5000m,distance,,,
Flying Sprint,Cardio Outdoor,Cardio,5x30m,distance,,,
HIIT,Cardio Outdoor,Cardio,3x45s,time,yes,,
High Knee Run,Cardio Outdoor,Cardio,4x20m,distance,,,
Hiking,Cardio Outdoor,Cardio,3x400m,distance,yes,,
Hill Sprint,Cardio Outdoor,Cardio,8x40m,distance,,,
Jump Rope,Cardio Outdoor,Cardio,3x45s,time,yes,,
Pro Agility Shuttle,Cardio Outdoor,Cardio,6x20m,distance,,,
Ruck Walk,Cardio Outdoor,Cardio,1x5000m,distance,,,
Shuttle Run,Cardio Outdoor,Cardio,6x20m,distance,,,
Skating,Cardio Outdoor,Cardio,3x400m,distance,yes,,
Skiing,Cardio Outdoor,Cardio,3x400m,distance,yes,,
Snowboarding,Cardio Outdoor,Cardio,3x400m,distance,yes,,
Sprint Start,Cardio Outdoor,Cardio,6x20m,distance,,,
Sprints,Cardio Outdoor,Cardio,3x400m,distance,yes,,
Stair Sprints,Cardio Outdoor,Cardio,6x30s,time,,,
Stride Out Run,Cardio Outdoor,Cardio,6x100m,distance,,,
Suicide Run,Cardio Outdoor,Cardio,4x1,reps,,,
Swim Breaststroke,Cardio Outdoor,Cardio,4x100m,distance,,,
Swim Butterfly,Cardio Outdoor,Cardio,4x50m,distance,,,
Swim Freestyle,Cardio Outdoor,Cardio,4x100m,distance,,,
Swimming,Cardio Outdoor,Cardio,3x400m,distance,yes,,
Tempo Run,Cardio Outdoor,Cardio,3x1000m,distance,,,
Walking,Cardio Outdoor,Cardio,3x400m,distance,yes,,
Weighted Vest Walk,Cardio Outdoor,Cardio,1x30min,time,,,
Med Ball Side Toss,Conditioning,Abdominals,4x8,reps,,,
Rotational Medicine Ball Throw,Conditioning,Abdominals,4x6,reps,yes,,
Agility Ladder,Conditioning,Cardio,4x30s,time,,,
Boxing Heavy Bag,Conditioning,Cardio,3x3min,time,,,
Carioca Drill,Conditioning,Cardio,4x20m,distance,,,
Cone Drill,Conditioning,Cardio,4x30s,time,,,
Jump Rope Crossover,Conditioning,Cardio,3x60s,time,,,
Jump Rope Double Under,Conditioning,Cardio,4x40,reps,,,
Jump Rope Single Under,Conditioning,Cardio,4x80,reps,,,
Lateral Shuffle Drill,Conditioning,Cardio,4x20m,distance,,,
Shadow Boxing,Conditioning,Cardio,3x3min,time,,,
T Drill,Conditioning,Cardio,4x1,reps,,,
Kneeling Med Ball Throw,Conditioning,Chest,4x8,reps,,,
Medicine Ball Chest Pass,Conditioning,Chest,4x8,reps,,,
Atlas Stone Lift,Conditioning,Full Body,4x3,reps,yes,,
Atlas Stone Over Bar,Conditioning,Full Body,4x3,reps,,,
Battle Ropes Slams,Conditioning,Full Body,4x30s,time,yes,,
Burpee Box Jump Over,Conditioning,Full Body,4x10,reps,,,
Keg Carry,Conditioning,Full Body,3x30m,distance,,,
Med Ball Clean,Conditioning,Full Body,4x10,reps,,,
Med Ball Overhead Slam,Conditioning,Full Body,4x10,reps,,,
Med Ball Scoop Toss,Conditioning,Full Body,4x8,reps,,,
Medicine Ball Slam,Conditioning,Full Body,4x10,reps,yes,,
Overhead Medicine Ball Throw,Conditioning,Full Body,4x8,reps,yes,,
Sandbag Carry,Conditioning,Full Body,3x40m,distance,,,
Sandbag Clean,Conditioning,Full Body,4x5,reps,,,
Sandbag Over Shoulder,Conditioning,Full Body,4x5,reps,,,
Sledge Tire Strike,Conditioning,Full Body,4x20,reps,,,
