name,cat,muscle,presc,unit,log_type,status,image_url,video_url,difficulty,secondary_muscles,movement_pattern,instructions,common_mistakes,alternatives
Standing Y Raise (Cable),Machine,Shoulders,3x12,reps,strength,existing,,,,,,,,
Straight Arm Lat Pulldown (Cable),Machine,Lats,4x8,reps,strength,existing,,,,,,,,
Triceps Extension (Cable),Machine,Triceps,3x12,reps,strength,existing,,,,,,,,
Triceps Extension (Machine),Machine,Triceps,3x12,reps,strength,existing,,,,,,,,
Triceps Kickback (Cable),Machine,Triceps,3x12,reps,strength,existing,,,,,,,,
Upright Row (Cable),Machine,Shoulders,3x12,reps,strength,existing,,,,,,,,
Vertical Traction (Machine),Machine,Lats,4x8,reps,strength,existing,,,,,,,,
Gorilla Row (Kettlebell),Kettlebell,Upper Back,4x8,reps,strength,existing,,,,,,,,
Kettlebell Around the World,Kettlebell,Shoulders,3x12,reps,strength,existing,,,,,,,,
Kettlebell Clean,Kettlebell,Full Body,4x8,reps,strength,existing,,,,,,,,
Kettlebell Curl,Kettlebell,Biceps,3x12,reps,strength,existing,,,,,,,,
Kettlebell Goblet Squat,Kettlebell,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Kettlebell Halo,Kettlebell,Shoulders,3x12,reps,strength,existing,,,,,,,,
Kettlebell High Pull,Kettlebell,Full Body,4x8,reps,strength,existing,,,,,,,,
Kettlebell Shoulder Press,Kettlebell,Shoulders,3x12,reps,strength,existing,,,,,,,,
Kettlebell Snatch,Kettlebell,Full Body,4x8,reps,strength,existing,,,,,,,,
Kettlebell Swing,Kettlebell,Full Body,4x8,reps,strength,existing,,,,,,,,
Kettlebell Turkish Get Up,Kettlebell,Full Body,4x8,reps,strength,existing,,,,,,,,
Sumo Squat (Kettlebell),Kettlebell,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Thruster (Kettlebell),Kettlebell,Full Body,4x8,reps,strength,existing,,,,,,,,
21s Bicep Curl,Bodyweight,Biceps,3x12,reps,strength,existing,,,,,,,,
Ab Scissors,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Ab Wheel,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Around The World,Bodyweight,Chest,4x8,reps,strength,existing,,,,,,,,
Back Extension (Hyperextension),Bodyweight,Lower Back,4x8,reps,strength,existing,,,,,,,,
Back Extension (Weighted Hyperextension),Bodyweight,Lower Back,4x8,reps,strength,existing,,,,,,,,
Band Pullaparts,Bodyweight,Shoulders,3x12,reps,strength,existing,,,,,,,,
Bear Crawl,Bodyweight,Full Body,3x45s,time,strength,existing,,,,,,,,
Bench Dip,Bodyweight,Triceps,3x12,reps,strength,existing,,,,,,,,
Bent Over Row (Band),Bodyweight,Upper Back,4x8,reps,strength,existing,,,,,,,,
Bicep Curl (Suspension),Bodyweight,Biceps,3x12,reps,strength,existing,,,,,,,,
Bicycle Crunch,Bodyweight,Abdominals,3x400m,distance,strength,existing,,,,,,,,
Bicycle Crunch Raised Legs,Bodyweight,Abdominals,3x400m,distance,strength,existing,,,,,,,,
Bird Dog,Bodyweight,Glutes,4x8,reps,hold,existing,,,,,,,,
Box Jump,Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Chest Dip,Bodyweight,Chest,4x8,reps,strength,existing,,,,,,,,
Chest Dip (Assisted),Bodyweight,Chest,4x8,reps,strength,existing,,,,,,,,
Chest Dip (Weighted),Bodyweight,Chest,4x8,reps,strength,existing,,,,,,,,
Chest Fly (Band),Bodyweight,Chest,4x8,reps,strength,existing,,,,,,,,
Chest Fly (Suspension),Bodyweight,Chest,4x8,reps,strength,existing,,,,,,,,
Chest Press (Band),Bodyweight,Chest,4x8,reps,strength,existing,,,,,,,,
Chest Supported T Bar Row,Bodyweight,Upper Back,4x8,reps,strength,existing,,,,,,,,
Chin Up,Bodyweight,Lats,4x8,reps,strength,existing,,,,,,,,
Chin Up (Assisted),Bodyweight,Lats,4x8,reps,strength,existing,,,,,,,,
Chin Up (Weighted),Bodyweight,Lats,4x8,reps,strength,existing,,,,,,,,
Clamshell,Bodyweight,Glutes,4x8,reps,strength,existing,,,,,,,,
Clap Push Ups,Bodyweight,Chest,4x8,reps,strength,existing,,,,,,,,
Clean,Bodyweight,Full Body,4x8,reps,strength,existing,,,,,,,,
Clean Pull,Bodyweight,Full Body,4x8,reps,strength,existing,,,,,,,,
Clean and Jerk,Bodyweight,Full Body,4x8,reps,strength,existing,,,,,,,,
Clean and Press,Bodyweight,Full Body,4x8,reps,strength,existing,,,,,,,,
Concentration Curl,Bodyweight,Biceps,3x12,reps,strength,existing,,,,,,,,
Cross Body Hammer Curl,Bodyweight,Biceps,3x12,reps,strength,existing,,,,,,,,
Crunch,Bodyweight,Abdominals,3x400m,distance,strength,existing,,,,,,,,
Crunch (Weighted),Bodyweight,Abdominals,3x400m,distance,strength,existing,,,,,,,,
Dead Bug,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Dead Hang,Bodyweight,Upper Back,3x45s,time,hold,existing,,,,,,,,
Deadlift (Band),Bodyweight,Glutes,4x8,reps,strength,existing,,,,,,,,
Deadlift High Pull,Bodyweight,Full Body,4x8,reps,strength,existing,,,,,,,,
Decline Crunch,Bodyweight,Abdominals,3x400m,distance,strength,existing,,,,,,,,
Decline Crunch (Weighted),Bodyweight,Abdominals,3x400m,distance,strength,existing,,,,,,,,
Decline Push Up,Bodyweight,Chest,4x8,reps,strength,existing,,,,,,,,
Diamond Push Up,Bodyweight,Triceps,3x12,reps,strength,existing,,,,,,,,
Drag Curl,Bodyweight,Biceps,3x12,reps,strength,existing,,,,,,,,
Dragon Flag,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Dragonfly,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Elbow to Knee,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Face Pull,Bodyweight,Shoulders,3x12,reps,strength,existing,,,,,,,,
Fire Hydrants,Bodyweight,Glutes,4x8,reps,strength,existing,,,,,,,,
Floor Triceps Dip,Bodyweight,Triceps,3x12,reps,strength,existing,,,,,,,,
Flutter Kicks,Bodyweight,Abdominals,3x45s,time,strength,existing,,,,,,,,
Frog Jumps,Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Front Lever Hold,Bodyweight,Full Body,3x45s,time,hold,existing,,,,,,,,
Front Lever Raise,Bodyweight,Full Body,4x8,reps,strength,existing,,,,,,,,
Front Raise (Band),Bodyweight,Shoulders,3x12,reps,strength,existing,,,,,,,,
Front Raise (Suspension),Bodyweight,Shoulders,3x12,reps,strength,existing,,,,,,,,
Front Squat,Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Full Squat,Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Glute Bridge,Bodyweight,Glutes,4x8,reps,strength,existing,,,,,,,,
Glute Ham Raise,Bodyweight,Hamstrings,4x8,reps,strength,existing,,,,,,,,
Glute Kickback on Floor,Bodyweight,Glutes,4x8,reps,strength,existing,,,,,,,,
Goblet Squat,Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Hack Squat,Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Hammer Curl (Band),Bodyweight,Biceps,3x12,reps,strength,existing,,,,,,,,
Handstand Hold,Bodyweight,Full Body,3x45s,time,hold,existing,,,,,,,,
Handstand Push Up,Bodyweight,Shoulders,3x12,reps,strength,existing,,,,,,,,
Hang Clean,Bodyweight,Full Body,4x8,reps,strength,existing,,,,,,,,
Hang Snatch,Bodyweight,Full Body,4x8,reps,strength,existing,,,,,,,,
Hanging Knee Raise,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Hanging Leg Raise,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Heel Taps,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
High Knee Skips,Bodyweight,Full Body,4x8,reps,cardio,existing,,,,,,,,
High Knees,Bodyweight,Full Body,3x45s,time,strength,existing,,,,,,,,
Hip Thrust,Bodyweight,Glutes,4x8,reps,strength,existing,,,,,,,,
Hollow Rock,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Incline Push Ups,Bodyweight,Chest,4x8,reps,strength,existing,,,,,,,,
Inverted Row,Bodyweight,Upper Back,4x8,reps,strength,existing,,,,,,,,
Iso-Lateral Low Row,Bodyweight,Upper Back,4x8,reps,strength,existing,,,,,,,,
Jack Knife (Suspension),Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Jackknife Sit Up,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Jump Shrug,Bodyweight,Full Body,4x8,reps,strength,existing,,,,,,,,
Jump Squat,Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Jumping Jack,Bodyweight,Full Body,4x8,reps,strength,existing,,,,,,,,
Jumping Lunge,Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Kipping Pull Up,Bodyweight,Lats,4x8,reps,strength,existing,,,,,,,,
Knee Raise Parallel Bars,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Kneeling Pulldown (band),Bodyweight,Lats,4x8,reps,strength,existing,,,,,,,,
Kneeling Push Up,Bodyweight,Chest,4x8,reps,strength,existing,,,,,,,,
