Exercise,Workout Category,Equipment Needed,Can Do At Home,Library Category,Muscle Group,Default Sets x Reps,Log Type
Landmine Squat and Press,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Full Body,4x8,reps
Power Clean,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Full Body,4x8,reps
Power Snatch,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Full Body,4x8,reps
Snatch,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Full Body,4x8,reps
Split Jerk,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Full Body,4x8,reps
Thruster (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Full Body,4x8,reps
Axle Deadlift,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Glutes,4x5,reps
Block Pull Deadlift,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Glutes,4x4,reps
Deadlift (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Glutes,4x8,reps
Deadlift (Trap bar),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Glutes,4x8,reps
Deficit Deadlift,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Glutes,4x4,reps
Glute Bridge (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Glutes,4x8,reps
Hip Thrust (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Glutes,4x8,reps
Jefferson Deadlift,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Glutes,4x6,reps
Partial Glute Bridge (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Glutes,4x8,reps
Good Morning (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Hamstrings,4x8,reps
Romanian Deadlift (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Hamstrings,4x8,reps
Single Leg Romanian Deadlift (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Hamstrings,4x8,reps
Jefferson Curl,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Lower Back,3x8,reps
Anderson Squat,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Quadriceps,4x3,reps
Box Squat (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Quadriceps,4x8,reps
Bulgarian Split Squat (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Quadriceps,4x8,reps
Lunge (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Quadriceps,4x8,reps
Pause Squat (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Quadriceps,4x8,reps
Pin Squat,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Quadriceps,4x3,reps
Reverse Lunge (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Quadriceps,4x8,reps
Safety Bar Squat,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Quadriceps,4x6,reps
Squat (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Quadriceps,4x8,reps
Sumo Squat (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Quadriceps,4x8,reps
Behind the Neck Press,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Shoulders,4x8,reps
Bradford Press,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Shoulders,3x10,reps
Front Raise (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Shoulders,3x12,reps
Landmine Lateral Raise,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Shoulders,3x12,reps
Log Press,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Shoulders,4x5,reps
Muscle Snatch,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Shoulders,4x3,reps
Overhead Press (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Shoulders,3x12,reps
Pin Press,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Shoulders,4x3,reps
Push Jerk,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Shoulders,5x3,reps
Seated Overhead Press (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Shoulders,3x12,reps
Single Arm Landmine Press (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Shoulders,3x12,reps
Standing Military Press (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Shoulders,3x12,reps
Upright Row (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Shoulders,3x12,reps
Shrug (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Traps,3x12,reps
JM Press (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Triceps,3x12,reps
Skullcrusher (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Triceps,3x12,reps
Triceps Extension (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Triceps,3x12,reps
Bent Over Row - Underhand (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Upper Back,4x8,reps
Bent Over Row (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Upper Back,4x8,reps
Chest Supported T Bar Row,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Upper Back,4x8,reps
Landmine Row,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Upper Back,4x8,reps
Meadows Row,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Upper Back,4x10,reps
Meadows Rows (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Upper Back,4x8,reps
Pendlay Row (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Upper Back,4x8,reps
Seal Row (Barbell),Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Upper Back,4x8,reps
Snatch Grip Deadlift,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Upper Back,4x5,reps
Snatch Pull,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Upper Back,4x3,reps
T Bar Row,Barbell Workout,"Barbell, rack and plates",Gym or home gym,Barbell,Upper Back,4x8,reps
Air Bike,Cardio - Machine,Air Bike,Gym only,Cardio Machine,Cardio,3x400m,distance
Elliptical Trainer,Cardio - Machine,Elliptical Trainer,Gym only,Cardio Machine,Cardio,3x400m,distance
Incline Treadmill Walk,Cardio - Machine,Incline Treadmill Walk,Gym only,Cardio Machine,Cardio,1x20min,time
Jacob's Ladder,Cardio - Machine,Jacob's Ladder,Gym only,Cardio Machine,Cardio,3x5min,time
Recumbent Bike,Cardio - Machine,Recumbent Bike,Gym only,Cardio Machine,Cardio,3x400m,distance
Rowing Erg Sprint,Cardio - Machine,Rowing Erg Sprint,Gym only,Cardio Machine,Cardio,6x250m,distance
Ski Erg,Cardio - Machine,Ski Erg,Gym only,Cardio Machine,Cardio,3x400m,distance
Spinning,Cardio - Machine,Spinning,Gym only,Cardio Machine,Cardio,3x45s,time
Treadmill,Cardio - Machine,Treadmill,Gym only,Cardio Machine,Cardio,3x400m,distance
Versaclimber,Cardio - Machine,Versaclimber,Gym only,Cardio Machine,Cardio,3x5min,time
A Skip,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,4x20m,distance
Aerobics,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,3x45s,time
B Skip,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,4x20m,distance
Battle Ropes,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,3x45s,time
Boxing,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,3x45s,time
Butt Kick Run,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,4x20m,distance
Climbing,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,3x400m,distance
Cycling,Cardio - Outdoor,A bicycle,Yes - outdoors,Cardio Outdoor,Cardio,3x400m,distance
Falling Start Sprint,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,6x15m,distance
Fartlek Run,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,1x5000m,distance
Flying Sprint,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,5x30m,distance
High Knee Run,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,4x20m,distance
HIIT,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,3x45s,time
Hiking,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,3x400m,distance
Hill Sprint,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,8x40m,distance
Jump Rope,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,3x45s,time
Pro Agility Shuttle,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,6x20m,distance
Ruck Walk,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,1x5000m,distance
Running,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,3x400m,distance
Shuttle Run,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,6x20m,distance
Skating,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,3x400m,distance
Skiing,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,3x400m,distance
Snowboarding,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,3x400m,distance
Sprint Start,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,6x20m,distance
Sprints,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,3x400m,distance
Stair Sprints,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,6x30s,time
Stride Out Run,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,6x100m,distance
Suicide Run,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,4x1,reps
Tempo Run,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,3x1000m,distance
Walking,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,3x400m,distance
Weighted Vest Walk,Cardio - Outdoor,None - outdoors,Yes - outdoors,Cardio Outdoor,Cardio,1x30min,time
Swim Breaststroke,Cardio - Swimming,Swimming pool,Pool needed,Cardio Outdoor,Cardio,4x100m,distance
Swim Butterfly,Cardio - Swimming,Swimming pool,Pool needed,Cardio Outdoor,Cardio,4x50m,distance
Swim Freestyle,Cardio - Swimming,Swimming pool,Pool needed,Cardio Outdoor,Cardio,4x100m,distance
Swimming,Cardio - Swimming,Swimming pool,Pool needed,Cardio Outdoor,Cardio,3x400m,distance
Med Ball Side Toss,Conditioning / Functional,Medicine or slam ball,Gym only,Conditioning,Abdominals,4x8,reps
Rotational Medicine Ball Throw,Conditioning / Functional,Medicine or slam ball,Gym only,Conditioning,Abdominals,4x6,reps
Boxing Heavy Bag,Conditioning / Functional,Heavy bag or sledgehammer,Gym only,Conditioning,Cardio,3x3min,time
Kneeling Med Ball Throw,Conditioning / Functional,Medicine or slam ball,Gym only,Conditioning,Chest,4x8,reps
Medicine Ball Chest Pass,Conditioning / Functional,Medicine or slam ball,Gym only,Conditioning,Chest,4x8,reps
Atlas Stone Lift,Conditioning / Functional,Strongman implement,Gym only,Conditioning,Full Body,4x3,reps
Atlas Stone Over Bar,Conditioning / Functional,Strongman implement,Gym only,Conditioning,Full Body,4x3,reps
Ball Slams,Conditioning / Functional,Gym equipment,Gym only,Conditioning,Full Body,4x8,reps
Battle Ropes Slams,Conditioning / Functional,Battle ropes,Gym only,Conditioning,Full Body,4x30s,time
Farmers Walk,Conditioning / Functional,Gym equipment,Gym only,Conditioning,Full Body,3x400m,distance
Keg Carry,Conditioning / Functional,Strongman implement,Gym only,Conditioning,Full Body,3x30m,distance
Med Ball Clean,Conditioning / Functional,Medicine or slam ball,Gym only,Conditioning,Full Body,4x10,reps
Med Ball Overhead Slam,Conditioning / Functional,Medicine or slam ball,Gym only,Conditioning,Full Body,4x10,reps
Med Ball Scoop Toss,Conditioning / Functional,Medicine or slam ball,Gym only,Conditioning,Full Body,4x8,reps
Medicine Ball Slam,Conditioning / Functional,Medicine or slam ball,Gym only,Conditioning,Full Body,4x10,reps
Overhead Medicine Ball Throw,Conditioning / Functional,Medicine or slam ball,Gym only,Conditioning,Full Body,4x8,reps
Sandbag Carry,Conditioning / Functional,Sandbag,Gym only,Conditioning,Full Body,3x40m,distance
Sandbag Clean,Conditioning / Functional,Sandbag,Gym only,Conditioning,Full Body,4x5,reps
Sandbag Over Shoulder,Conditioning / Functional,Sandbag,Gym only,Conditioning,Full Body,4x5,reps
Sled Pull,Conditioning / Functional,Sled,Gym only,Conditioning,Full Body,3x400m,distance
Sled Push,Conditioning / Functional,Sled,Gym only,Conditioning,Full Body,3x400m,distance
Sledge Tire Strike,Conditioning / Functional,Sled,Gym only,Conditioning,Full Body,4x20,reps
Sledgehammer Strikes,Conditioning / Functional,Sled,Gym only,Conditioning,Full Body,4x20,reps
Tire Flip,Conditioning / Functional,Strongman implement,Gym only,Conditioning,Full Body,4x5,reps
Wall Ball,Conditioning / Functional,Medicine or slam ball,Gym only,Conditioning,Full Body,3x45s,time
Wall Ball Over Shoulder,Conditioning / Functional,Medicine or slam ball,Gym only,Conditioning,Full Body,4x10,reps
Yoke Carry,Conditioning / Functional,Strongman implement,Gym only,Conditioning,Full Body,4x20m,distance
Zercher Carry,Conditioning / Functional,Gym equipment,Gym only,Conditioning,Full Body,3x30m,distance
Sled Drag,Conditioning / Functional,Sled,Gym only,Conditioning,Hamstrings,4x20m,distance
Box Step Over,Conditioning / Functional,Gym equipment,Gym only,Conditioning,Quadriceps,4x10,reps
Sandbag Squat,Conditioning / Functional,Sandbag,Gym only,Conditioning,Quadriceps,4x12,reps
Slam Ball Squat,Conditioning / Functional,Medicine or slam ball,Gym only,Conditioning,Quadriceps,4x12,reps
Sled Sprint,Conditioning / Functional,Sled,Gym only,Conditioning,Quadriceps,6x15m,distance
Walking Lunge (Sandbag),Conditioning / Functional,Sandbag,Gym only,Conditioning,Quadriceps,3x400m,distance
Battle Ropes Waves,Conditioning / Functional,Battle ropes,Gym only,Conditioning,Shoulders,4x30s,time
Overhead Carry,Conditioning / Functional,Gym equipment,Gym only,Conditioning,Shoulders,3x30m,distance
Speed Bag Boxing,Conditioning / Functional,Heavy bag or sledgehammer,Gym only,Conditioning,Shoulders,3x2min,time
Side Bend (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Abdominals,3x15,reps
Suitcase Deadlift,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Abdominals,3x10,reps
Bicep Curl (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Biceps,3x12,reps
Hammer Curl (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Biceps,3x12,reps
Pinwheel Curl (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Biceps,3x12,reps
Preacher Curl (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Biceps,3x12,reps
Reverse Curl (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Biceps,3x12,reps
Seated Incline Curl (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Biceps,3x12,reps
Seated Incline Hammer Curl (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Biceps,3x12,reps
Spider Curl (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Biceps,3x12,reps
Waiter Curl (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Biceps,3x12,reps
Zottman Curl (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Biceps,3x12,reps
Single Leg Standing Calf Raise (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Calves,3x15,reps
Standing Calf Raise (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Calves,3x15,reps
Bench Press (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Chest,4x8,reps
Chest Fly (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Chest,4x8,reps
Decline Bench Press (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Chest,4x8,reps
Decline Chest Fly (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Chest,4x8,reps
Dumbbell Squeeze Press,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Chest,4x8,reps
Floor Press (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Chest,4x8,reps
Hex Press (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Chest,4x8,reps
Incline Bench Press (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Chest,4x8,reps
Incline Chest Fly (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Chest,4x8,reps
Serratus Punch,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Chest,3x15,reps
Farmer Hold,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Forearms,3x45s,time
Pronation Supination,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Forearms,3x15,reps
Reverse Wrist Curl (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Forearms,3x15,reps
Wrist Extension Eccentric,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Forearms,3x15,reps
Wrist Flexion Eccentric,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Forearms,3x15,reps
Devil Press,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Full Body,4x8,reps
Dumbbell Snatch,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Full Body,4x8,reps
Lunge to Press,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Full Body,4x10,reps
Man Maker,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Full Body,4x8,reps
Suitcase Carry (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Full Body,3x400m,distance
Deadlift (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Glutes,4x8,reps
Frog Pumps (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Glutes,4x8,reps
Hip Thrust (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Glutes,4x8,reps
Single Leg Hip Thrust (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Glutes,4x8,reps
Romanian Deadlift (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Hamstrings,4x8,reps
Single Leg Romanian Deadlift (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Hamstrings,4x8,reps
Stiff Leg Deadlift (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Hamstrings,4x8,reps
Dumbbell Row,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Lats,4x8,reps
Pullover (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Lats,4x8,reps
Jefferson Curl (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Lower Back,3x8,reps
Bulgarian Split Squat (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Quadriceps,4x8,reps
Curtsy Lunge (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Quadriceps,4x8,reps
Dumbbell Step Up,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Quadriceps,4x8,reps
Lunge (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Quadriceps,4x8,reps
Overhead Dumbbell Lunge,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Quadriceps,4x8,reps
Reverse Lunge (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Quadriceps,4x8,reps
Split Squat (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Quadriceps,4x8,reps
Squat (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Quadriceps,4x8,reps
Sumo Squat (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Quadriceps,4x8,reps
Walking Lunge (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Quadriceps,3x400m,distance
Arnold Press (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Shoulders,3x12,reps
Chest Supported Reverse Fly (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Shoulders,3x12,reps
Chest Supported Y Raise (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Shoulders,3x12,reps
Cuban Rotation,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Shoulders,3x12,reps
Dumbbell Snatch Alternating,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Shoulders,4x10,reps
Dumbbell Thruster,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Shoulders,4x10,reps
Empty Can Raise,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Shoulders,3x12,reps
Front Raise (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Shoulders,3x12,reps
Full Can Raise,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Shoulders,3x15,reps
Half Kneeling Press,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Shoulders,3x10,reps
Lateral Raise (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Shoulders,3x12,reps
Overhead Press (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Shoulders,3x12,reps
Prone External Rotation,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Shoulders,3x15,reps
Rear Delt Reverse Fly (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Shoulders,3x12,reps
Scaption Raise,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Shoulders,3x15,reps
Seated Lateral Raise (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Shoulders,3x12,reps
Seated Overhead Press (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Shoulders,3x12,reps
Shoulder Press (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Shoulders,3x12,reps
Side Lying External Rotation,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Shoulders,3x15,reps
Upright Row (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Shoulders,3x12,reps
Shrug (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Traps,3x12,reps
Skullcrusher (Dumbbell),Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Triceps,3x12,reps
Tate Press,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Triceps,3x12,reps
Tricep Kickback,Dumbbell Workout,Dumbbells,Gym or home,Dumbbell,Triceps,3x15,reps
